Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
73	9195.263	50.094143	9265.595	9142.481	9086.525	165.96399	9353.819	8837.934	1000.0	1000.0	291999	618.7746	169.66077	812.08997	-188.5826	618.7742	169.66487	809.7707	-189.71928	5.5667076	4.5783753	70.708855	-15.960787	-618.62665	59.9536	6731.947209119797
74	5057.657	3995.5342	9371.842	851.63184	9772.5625	136.15321	9955.189	9595.79	1000.0	1000.0	295999	620.1369	173.45732	818.033	-304.48434	620.1377	173.45865	819.09125	-232.78546	5.5519285	4.6558423	191.43533	-15.923575	-619.95	64.342606	6824.270100593567
75	9139.98	108.38863	9296.021	8994.8	9829.205	146.04471	10034.329	9588.38	1000.0	1000.0	299999	622.0507	177.04652	819.2674	-521.3208	622.0508	177.04926	820.9098	-467.45068	5.591922	4.631874	133.19942	-12.854872	-621.87506	69.42603	6910.079427719116
76	9271.722	206.48442	9568.086	9055.257	9140.318	1829.3334	10056.147	3670.8606	1000.0	1000.0	303999	626.28174	177.87927	824.81195	-780.72687	626.2819	177.87764	822.4517	-763.33093	5.694082	4.5792603	94.9112	-14.378488	-626.0766	82.54269	6994.872300624847
77	9402.592	135.1185	9565.825	9190.092	9870.568	160.27919	10090.397	9514.685	1000.0	1000.0	307999	630.9554	177.32094	831.23846	-759.34357	630.95624	177.32346	837.6958	-694.22565	5.6908927	4.5563083	87.66006	-12.366077	-630.78735	72.0532	7081.098909854889
78	9431.373	170.98396	9569.338	9139.351	9845.717	104.4921	10021.932	9683.128	1000.0	1000.0	311999	634.0968	178.5115	828.309	-654.8398	634.095	178.51811	827.88544	-588.9749	5.6987896	4.5544133	75.01407	-10.758384	-633.92126	75.83569	7167.153654336929
79	9517.06	157.6243	9764.303	9354.354	9735.922	368.6797	10154.314	8870.513	1000.0	1000.0	315999	638.74365	178.05096	833.1755	-613.98834	638.74426	178.05545	829.64905	-634.6828	5.6917706	4.5781646	71.656	-13.388443	-638.5488	73.28393	7251.035749912262
80	9389.048	96.17485	9546.064	9296.9	10150.532	178.1137	10402.345	9816.368	1000.0	1000.0	319999	642.64685	177.3774	834.982	-439.85104	642.64685	177.38002	838.8398	-407.9932	5.672265	4.5336103	53.103794	-13.7084055	-642.446	65.8687	7336.347733974457
81	9328.947	182.94064	9496.044	9033.432	10028.67	127.34586	10274.871	9823.164	1000.0	1000.0	323999	645.4844	178.14256	836.8633	-544.0287	645.48444	178.14545	840.2154	-498.0774	5.699241	4.5582013	59.88599	-11.600926	-645.2381	69.056694	7450.397966146469
82	9641.502	203.50508	9926.6	9402.548	9491.802	171.21439	9647.788	9023.801	1000.0	1000.0	327999	649.69855	178.34264	843.8914	-477.69788	649.6982	178.34444	846.1399	-534.4486	5.8126917	4.5999694	82.442055	-12.482488	-649.5059	70.39525	7569.416894197464
83	9468.613	196.75032	9633.546	9140.055	9326.885	101.271576	9467.237	9178.533	1000.0	1000.0	331999	653.8843	179.43983	845.532	-533.1628	653.8847	179.44351	845.6835	-570.0858	5.8272486	4.571966	70.25336	-12.33366	-653.6924	69.14236	7687.3861129283905
84	9477.283	226.52277	9731.974	9151.466	10370.58	121.94308	10526.21	10120.299	1000.0	1000.0	335999	657.66565	180.49759	851.6231	-602.04694	657.66565	180.49747	845.9526	-582.7502	5.8932137	4.640406	64.524666	-11.873714	-657.4708	68.66199	7805.954166173935
85	9368.51	254.10817	9670.87	8983.845	9975.161	110.19596	10137.1455	9818.731	1000.0	1000.0	339999	661.8126	179.4274	851.56464	-510.15607	661.8128	179.42902	850.7137	-503.81827	5.8275905	4.547524	67.01937	-14.639402	-661.6075	66.36264	7922.671420812607
86	9659.729	241.54982	10008.447	9387.559	9731.721	915.53406	10240.653	6997.773	1000.0	1000.0	343999	665.4244	178.58405	854.4472	-458.98077	665.42426	178.58646	853.5608	-521.08704	5.803861	4.5418773	72.20533	-12.77344	-665.1735	68.13005	8021.0912935733795
87	9635.817	81.204384	9754.725	9534.119	9478.014	174.57593	9921.089	9256.472	1000.0	1000.0	347999	668.5873	179.63564	858.6007	-469.5449	668.5879	179.63683	857.0704	-492.9265	5.9396677	4.5747857	68.313736	-14.951527	-668.3755	69.56235	8109.079362630844
88	9631.004	82.327255	9739.143	9509.494	10253.6	216.47119	10578.615	9777.692	1000.0	1000.0	351999	671.90045	180.63872	860.7065	-329.2247	671.89966	180.64293	858.20435	-400.84088	5.90743	4.594254	74.83231	-12.698586	-671.7042	68.025955	8178.585557937622
89	9632.887	278.4782	9982.194	9210.104	9613.317	155.10858	9839.983	9273.393	1000.0	1000.0	355999	676.09235	179.96593	868.415	-247.9268	676.0922	179.96873	866.9642	-207.80812	5.915483	4.5884438	61.804813	-12.949657	-675.83765	67.39857	8239.56394648552
90	9642.795	104.66725	9787.96	9498.51	10482.77	151.01923	10714.247	10206.768	1000.0	1000.0	359999	679.62506	179.6248	872.7017	-330.68292	679.6253	179.6283	871.0846	-344.78488	5.9204564	4.6013293	56.447968	-11.547777	-679.3805	69.08612	8303.747724056244
91	9686.158	239.04123	9914.442	9286.413	10161.485	91.36136	10327.822	10027.182	1000.0	1000.0	363999	683.0974	179.57265	871.7922	-292.0789	683.09735	179.5773	877.156	-266.3624	5.931454	4.5738783	75.225784	-13.64566	-682.8698	67.47133	8367.17073726654
92	9739.91	147.67914	9977.194	9605.639	10334.112	77.64837	10475.151	10230.018	1000.0	1000.0	367999	686.0984	180.59787	871.8358	-334.7081	686.0984	180.60048	871.95703	-438.39365	6.0287013	4.571909	63.8286	-14.099005	-685.836	67.78486	8428.363385915756
93	9886.817	20.527697	9918.0205	9863.092	10131.778	171.31071	10369.4375	9893.018	1000.0	1000.0	371999	688.9886	180.02286	874.94666	-378.9171	688.9881	180.02698	877.1442	-380.27975	5.9366307	4.592985	73.52697	-13.091185	-688.6995	69.962975	8484.974906682968
